Yr,Conf,Team,W,L,GP,SecO_W,SecO_Diff,SnP_val,SnP_pct,SnP_rnk,SnPO_val,SnPO_rnk,SnPD_val,SnPD_rnk,SnPS_val,SnPS_rnk,SoS,SoS_rnk
2018,C-USA,Western Kentucky,3,9,12,4.2,1.2,-16.1,9.7,113,17.9,120,31.8,93,-2.2,122,0.968,120
2018,Sun Belt,Texas State,3,9,12,6.1,3.1,-16.4,9.4,114,14.9,126,29,73,-2.2,124,0.972,125
2018,MWC,San Jose State,1,11,12,2,1,-17.1,8.5,115,17.3,121,34.7,104,0.2,64,0.923,73
2018,Sun Belt,Coastal Carolina,5,7,12,3.5,-1.5,-17.2,8.3,116,28.1,77,45.7,129,0.4,58,0.952,105
2018,Sun Belt,South Alabama,3,9,12,3.3,0.3,-17.7,7.8,117,24.5,101,42,123,-0.3,78,0.946,95
2018,C-USA,Charlotte,5,7,12,3.6,-1.4,-18.5,7,118,15,125,33.5,98,0,69,0.963,117
2018,MAC,Ball State,4,8,12,3.1,-0.9,-18.9,6.6,119,22.5,110,40.2,120,-1.2,105,0.95,100
2018,MAC,Akron,4,8,12,2.9,-1.1,-19.3,6.3,120,11.9,128,31,89,-0.2,73,0.952,104
2018,Ind,Liberty,6,6,12,4.4,-1.6,-19.7,5.9,121,25.1,96,41.7,122,-3.1,129,0.947,97
2018,MAC,Central Michigan,1,11,12,2.3,1.3,-20,5.6,122,9,130,28.7,69,-0.3,79,0.958,111
2018,Ind,New Mexico State,3,9,12,2.6,-0.4,-20.2,5.4,123,19.2,116,38,113,-1.4,108,0.959,112
2018,MAC,Kent State,2,10,12,2.9,0.9,-20.4,5.3,124,20.5,115,40.3,121,-0.6,92,0.945,94
2018,Sun Belt,Georgia State,2,10,12,2.8,0.8,-20.4,5.3,125,23.6,108,43.6,127,-0.4,84,0.951,103
2018,MAC,Bowling Green,3,9,12,2.4,-0.6,-22,4.1,126,24.7,100,43.9,128,-2.8,127,0.965,118
2018,C-USA,UTSA,3,9,12,1.8,-1.2,-22.1,4.1,127,11.1,129,34.4,103,1.2,22,0.968,121
2018,AAC,Connecticut,1,11,12,0.4,-0.6,-26.4,2,128,24.7,99,51.9,130,0.9,37,0.932,81
2018,C-USA,Rice,2,11,13,1.5,-0.5,-26.4,2,129,15,124,42.5,125,1.1,29,0.948,98
2018,C-USA,UTEP,1,11,12,3.2,2.2,-26.6,1.9,130,12.1,127,37.1,111,-1.6,110,0.977,128
2017,SEC,Alabama,13,1,14,12.2,-0.8,33.5,99.2,1,38.7,11,5.6,1,0.4,52,0.842,28
2017,Big Ten,Ohio State,12,2,14,11.5,-0.5,30.9,98.7,2,42.9,3,12.8,7,0.9,35,0.828,18
2017,Big Ten,Wisconsin,13,1,14,11.9,-1.1,26.8,97.2,3,37.4,18,11.6,4,1,28,0.873,50
2017,SEC,Georgia,13,2,15,12.7,-0.3,26.7,97.2,4,39.6,7,15.4,12,2.6,3,0.835,23
2017,ACC,Clemson,12,2,14,11.8,-0.2,26.4,97,5,36.5,20,8.3,2,-1.8,114,0.829,19
2017,Big Ten,Penn State,11,2,13,10.9,-0.1,26,96.8,6,41.5,5,14.9,10,-0.6,88,0.86,42
2017,Big 12,Oklahoma,12,2,14,12.1,0.1,25.5,96.5,7,49.8,1,24.2,43,-0.1,71,0.843,29
2017,SEC,Auburn,10,4,14,10.3,0.3,24.7,96,8,35.4,26,11,3,0.2,61,0.767,1
2017,ACC,Florida State,7,6,13,8,1,22.8,94.7,9,33.3,37,12.5,6,2,8,0.808,4
2017,Pac-12,Washington,10,3,13,11.3,1.3,22.1,94,10,39.4,8,16.3,13,-1.1,105,0.921,71
2017,SEC,LSU,9,4,13,9.4,0.4,21.1,93.1,11,35.6,23,14,8,-0.5,86,0.839,26
2017,Ind,Notre Dame,10,3,13,9.5,-0.5,20.8,92.8,12,37.4,19,16.9,15,0.2,59,0.834,22
2017,Big Ten,Michigan,8,5,13,8.5,0.5,19.6,91.5,13,31.1,49,11.8,5,0.3,58,0.823,14
2017,ACC,Louisville,8,5,13,8.3,0.3,19.2,91,14,43.3,2,24.9,47,0.8,39,0.869,47
2017,Big 12,Oklahoma State,10,3,13,9.8,-0.2,19.1,90.9,15,42.2,4,23,35,-0.1,72,0.88,57
2017,Big 12,TCU,11,3,14,10.3,-0.7,18.9,90.6,16,35.7,22,18.7,19,1.9,9,0.858,38
2017,Pac-12,USC,11,3,14,10.7,-0.3,17.9,89.3,17,38.5,12,20,24,-0.6,89,0.88,59
2017,ACC,Miami-FL,10,3,13,9.1,-0.9,17.4,88.7,18,35.3,27,17,16,-0.9,100,0.838,24
2017,SEC,Mississippi State,9,4,13,9,0,16,86.4,19,32.4,40,18.1,18,1.7,16,0.812,5
2017,Pac-12,Stanford,9,5,14,7.7,-1.3,15.8,86.1,20,37.7,16,24.5,44,2.6,2,0.856,35
2017,ACC,Virginia Tech,9,4,13,7.9,-1.1,14.3,83.5,21,27.8,71,14.4,9,0.9,31,0.89,61
2017,AAC,Central Florida,13,0,13,11.9,-1.1,14.1,83,22,40.5,6,26.9,63,0.4,51,0.953,97
2017,Big Ten,Michigan State,10,3,13,8.7,-1.3,13.8,82.6,23,27.7,72,15.1,11,1.2,24,0.819,9
2017,ACC,NC State,9,4,13,8.9,-0.1,12.9,80.6,24,38,15,23.3,38,-1.9,116,0.83,21
2017,Pac-12,Utah,7,6,13,8.5,1.5,12,78.7,25,30.6,53,20.5,28,1.9,10,0.885,60
2017,SEC,Ole Miss,6,6,12,7.6,1.6,11.6,78,26,38.9,10,28.8,76,1.6,17,0.839,27
2017,Big Ten,Northwestern,10,3,13,8,-2,11.2,77,27,28.8,60,17.4,17,-0.3,77,0.869,46
